lineOfBusiness Component,editor Qualifier,channel Component,product Component,domain Component,domain_sequence Qualifier,subdomain Component,sub_domain_sequence Qualifier,business_flow Component,business_flow_sequence Qualifier,Task Component,task_sequence Qualifier,application Component,correlation_id Qualifier,FK_Data[Applications].Correlation_ID
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,"CCM, Clarify, CM",18293,18293
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,CCMULE,30686,30686
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,IDP-Cloud-CG,31468,31468
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,GRID-AC,22510,22510
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,DPG - Sales & Sunrise,31479,31479
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,IDP-BUPS,33847,33847
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,Platform Support ATTFEDGOV1,33063,33063
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,CCSF,30685,30685
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,eTRACS,9313,9313
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Lookup Customer,9,CSI - Credit and Val,20186,20186
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Search CTN ) - optional,10,INLAP,31374,31374
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Search CTN ) - optional,10,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Search CTN ) - optional,10,T.Data,21948,21948
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Search CTN ) - optional,10,(FED) - US,24433,24433
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Search CTN ) - optional,10,CS FOBPM,19181,19181
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Search CTN ) - optional,10,CSI - Customer Care,20182,20182
Mass Markets,bb0063,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Search CTN ) - optional,10,CSI - Product and Offer Mgt,20180,20180
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Search CTN ) - optional,10,CSI - Product and Offer Mgt,20180,20180
Mass Markets,bb0063,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Search CTN ) - optional,10,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Authenticate) - optional,11,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Authenticate) - optional,11,CPC,17765,17765
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Authenticate) - optional,11,T.Data,21948,21948
Mass Markets,bb0063,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Authenticate) - optional,11,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Authenticate) - optional,11,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Authenticate) - optional,11,(FED) - US,24433,24433
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Authenticate) - optional,11,IDP-IDM,32765,32765
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,LIC to OPUS (Authenticate) - optional,11,AVTK,25114,25114
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,View Customer Summary,12,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,View Customer Summary,12,T.Data,21948,21948
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,View Customer Summary,12,CSI - Customer Care,20182,20182
Mass Markets,bb0063,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,View Customer Summary,12,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,View Customer Summary,12,OPUS - C,18257,18257
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Change Rate Plan / Add a Line,13,TLG-MOB,18193,18193
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Manage Profile,3,MPSYS,8841,8841
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Manage Profile,3,IDP-WebAcctMgmt,32768,32768
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Change Rate Plan / Add a Line,13,T.Data,21948,21948
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,PEARS,18436,18436
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Customer Care,20182,20182
Mass Markets,bb0063,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Network Management,20188,20188
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Network Management,20188,20188
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Product and Offer Mgt,20180,20180
Mass Markets,bb0063,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Product and Offer Mgt,20180,20180
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Change Rate Plan / Add a Line,13,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Change Rate Plan / Add a Line,13,LS CRM,10056,10056
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Change Rate Plan / Add a Line,13,LS-OMS,10038,10038
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Validate Market & Service Area,4,CSI Parent/Triage,17690,17690
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Validate Market & Service Area,4,CSI - Order and Subscription Mngt,20187,20187
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Validate Market & Service Area,4,(FED) - GEARS,24095,24095
Mass Markets,bb0063,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Manage Subscriber Number,5,CSI - Network Management,20188,20188
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Manage Subscriber Number,5,CSI - Network Management,20188,20188
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Manage Subscriber Number,5,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Change Rate Plan / Add a Line,13,OVALS,21269,21269
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Check Credit,14,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Check Credit,14,OPUS - C,18257,18257
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Check Credit,14,CAS,18224,18224
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Validate Order,15,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Validate Order,15,OPUS - C,18257,18257
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Validate Order,15,(FED) - CPC,23205,23205
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Reserve Subscriber Number ,16,TLG-MOB,18193,18193
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Order and Subscription Mngt,20187,20187
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,TLG-MOB,18193,18193
Mass Markets,bb0063,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Network Management,20188,20188
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Network Management,20188,20188
Mass Markets,bb0063,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Customer Care,20182,20182
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Customer Care,20182,20182
Mass Markets,bb0063,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Product and Offer Mgt,20180,20180
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Product and Offer Mgt,20180,20180
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CS FOBPM,19181,19181
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,"SC, Switch Control, TSC",18198,18198
Mass Markets,em114j,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,GRID-GDDN,22509,22509
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre-Paid Billing with TLG & Ericsson,3,BI & Reporting,1,WebTrax - C,18209,18209
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Dispatch To Job (Technician),8,(FED) - FASTBPM,27267,27267
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,View Job (Technician),7,(FED) - FASTBPM,27267,27267
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre-Paid Billing with TLG & Ericsson,3,BI & Reporting,1,Oracle GL,17987,17987
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Arrive on Prem / Update Job,9,(FED) - FASTBPM,27267,27267
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,View Job (Technician),7,EDGE,19062,19062
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Manage Profile,3,IDP-Cloud-CG,31468,31468
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Manage Profile,3,Products & Offers – Cloud,32560,32560
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Manage Profile,3,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Update Sign-In Information,4,MPSYS,8841,8841
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Update Sign-In Information,4,IDP-IDM,32765,32765
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Update Sign-In Information,4,IDP-Cloud-CG,31468,31468
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Update Sign-In Information,4,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Change Security Questions,5,MPSYS,8841,8841
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Change Security Questions,5,IDP-IDM,32765,32765
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Change Security Questions,5,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Update Billing Address,6,IDP-Cloud-CG,31468,31468
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Update Billing Address,6,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Update Marketing Notifications,7,IDP-Cloud-CG,31468,31468
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Update Marketing Notifications,7,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Go to Payments,8,IDP-WebAcctMgmt,32768,32768
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Go to Payments,8,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Manage Payment Methods,9,IDP-BUPS,33847,33847
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Manage Payment Methods,9,IDP-WebAcctMgmt,32768,32768
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,View Job (Technician),7,Digital IDP,27531,27531
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Manage Payment Methods,9,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Opt-in / out of AutoPay,10,IDP-WebAcctMgmt,32768,32768
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Opt-in / out of AutoPay,10,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Opt-in / out of Paperless Billing,11,IDP-BUPS,33847,33847
Mass Markets,tm0828,Online,Mobility,Use & Manage,3,Change Settings & Prefrences,1,Manage Account,2,Opt-in / out of Paperless Billing,11,IDP-WebAcctMgmt,32768,32768
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Provision Device,5,Intune,30989,30989
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Log Into Device,6,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Arrive on Prem / Update Job,9,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,View Job (Technician),7,DMP,30754,30754
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Log Into Device,6,WIAM-AM,26224,26224
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Provision Device,5,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Provision Device,5,MIMDM,21011,21011
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Provision Device,5,WIAM-AM,26224,26224
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,View Job (Technician),7,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Dispatch To Job (Technician),8,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Dispatch To Job (Technician),8,WMS-NT,19808,19808
Mass Markets,bb0063,Field,Broadband,Service & Support,4,Troubleshoot Issue,2,TechFast ATTGuarantee,2,Arrive on Prem / Update Job,9,EDGE,19062,19062
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Reserve Subscriber Number ,16,OPUS - C,18257,18257
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Review Billing & Order,17,ORACLE SCM,18249,18249
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Review Billing & Order,17,OPUS - C,18257,18257
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Arrange Customer Down Payment,18,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Arrange Customer Down Payment,18,EDP,18211,18211
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Arrange Customer Down Payment,18,T.Data,21948,21948
Mass Markets,bb0063,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Arrange Customer Down Payment,18,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Arrange Customer Down Payment,18,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Skip Trade In,19,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Skip Trade In,19,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Skip Trade In,19,OPUS - C,18257,18257
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Setup Payment,20,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Setup Payment,20,CSI - CPSVC,23901,23901
Mass Markets,bb0063,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Setup Payment,20,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Setup Payment,20,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Setup Payment,20,OPUS - C,18257,18257
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Review Terms & Conditions,21,TLG-MOB,18193,18193
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Review Terms & Conditions,21,OPUS - C,18257,18257
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Complete Sale / Submit Order,22,TLG-MOB,18193,18193
Mass Markets,bb0063,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Complete Sale / Submit Order,22,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Complete Sale / Submit Order,22,CSI - Customer Care,20182,20182
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Complete Sale / Submit Order,22,Digital IDP,27531,27531
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Complete Sale / Submit Order,22,OPUS - C,18257,18257
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Complete Sale / Submit Order,22,AVTK,25114,25114
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Recap Call,23,ATT Coral Desktop,26959,26959
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Recap Call,23,CCSF,30685,30685
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Notes Auto Summarization,24,ASKTS,30176,30176
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Notes Auto Summarization,24,CAST,33435,33435
Mass Markets,lg8383,Care,Mobility,Use & Manage,3,Change Plan / Change Speed ,2,Add A Line,2,Notes Auto Summarization,24,CCDL,32255,32255
Mass Markets,ac412t,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Create New Customer,3,Receive call,1,HVD-VDI,29243,29243
Mass Markets,ac412t,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Create New Customer,3,Receive call,1,Sonus TCCS,26630,26630
Mass Markets,ac412t,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Create New Customer,3,IVR Menu + Retrieve Customer Info & Route Call,2,ISAAC WFE,10593,10593
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre-Paid Billing with TLG & Ericsson,3,BI & Reporting,1,eCDW,18201,18201
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre-Paid Billing with TLG & Ericsson,3,Manual Invoicing,2,WebTrax - C,18209,18209
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre-Paid Billing with TLG & Ericsson,3,Manual Invoicing,2,Oracle GL,17987,17987
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre-Paid Billing with TLG & Ericsson,3,Manual Invoicing,2,eCDW,18201,18201
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre-Paid Billing with TLG & Ericsson,3,Payment Dispute & Management,3,ERBI,18284,18284
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre-Paid Billing with TLG & Ericsson,3,Payments & Reconciliation,4,vTM,24481,24481
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Mediation & Usage,1,DTV-ASMM,24809,24809
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Mediation & Usage,1,TLG-MOB,18193,18193
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Mediation & Usage,1,Enabler - C,18263,18263
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Billing,2,PRM,22475,22475
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Billing,2,WebTrax - C,18209,18209
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Billing,2,Oracle GL,17987,17987
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Billing,2,eCDW,18201,18201
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Billing,2,SFG,18288,18288
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Manual Invoicing,3,WebTrax - C,18209,18209
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Manual Invoicing,3,Oracle GL,17987,17987
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Manual Invoicing,3,eCDW,18201,18201
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Payment Dispute & Management,4,ERBI,18284,18284
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Pre & Post-Paid Billing,4,Payments & Reconciliation,5,vTM,24481,24481
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Post-Paid Billing w/ Radius,5,Mediation & Usage,1,TLG-MOB,18193,18193
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Post-Paid Billing w/ Radius,5,Mediation & Usage,1,Enabler - C,18263,18263
Mass Markets,ac412t,MVNO,Wholesale Mobility,Service & Support,4,Resolve Issue,3,Post-Paid Billing w/ Radius,5,Billing,3,PRM,22475,22475
