editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Identify qualified candidate,4,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Approve job offer,5,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Create job offer,6,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Make changes in offer letter,7,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Review/ verify error file,4,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive awards data,5,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive commission data,6,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive disability data,7,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive severance data,8,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive executive comp data,9,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive other data,10,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive manual data corrections,11,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Store employee self-service payroll elections,12,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,"Receive health, welfare and 401K data",13,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,5,Calculate Payroll in Workday,Workday ->>,Apply management rounding (if needed),1,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,5,Calculate Payroll in Workday,Workday ->>,"Calculate gross pay, pre-tax deductions, tax witholdings, post-tax deductions and net pay",2,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,5,Calculate Payroll in Workday,Workday ->>,Calculate wages and overtime,3,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,4,Perform Regulatory & Tax Accounting,1,Ensure Tax Compliance,1,Payroll Tax Administration,Workday ->>,Send tax,1,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,4,Perform Regulatory & Tax Accounting,1,Ensure Tax Compliance,1,Payroll Tax Administration,Workday ->>,Send invoice due information to treasury group,2,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,4,Perform Regulatory & Tax Accounting,1,Ensure Tax Compliance,1,Payroll Tax Administration,Workday ->>,Pull funds via reverse wire from JP Morgan Chase,3,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,4,Perform Regulatory & Tax Accounting,1,Ensure Tax Compliance,1,Payroll Tax Administration,Workday ->>,Remit payment directly to appropriate institutions,4,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,4,Perform Regulatory & Tax Accounting,1,Ensure Tax Compliance,1,Payroll Tax Administration,Workday ->>,Impound payroll funds to GL Account #1190.34,5,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,4,Perform Regulatory & Tax Accounting,1,Ensure Tax Compliance,1,Payroll Tax Administration,Workday ->>,Reconcile Workday with ADP,6,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,4,Perform Regulatory & Tax Accounting,1,Ensure Tax Compliance,1,Payroll Tax Administration,Workday ->>,Generate impound reconciliation report,7,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,4,Perform Regulatory & Tax Accounting,1,Ensure Tax Compliance,1,Payroll Tax Administration,Workday ->>,Book journal entry,8,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Run retro recal to identify and calculate compensation changes,1,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Run pay calc to calculate compensation,2,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Investigate and resolve errors identified including pay inputs not processed,3,Workday,29338,29338,,
