Domain_Name Component,Domain_ID Qualifier,SubDomain_Name Component,SubDomain_ID Qualifier,SRT_ID Qualifier,Bus_Cap Component,Cap_Bus_ID Qualifier,bus_cap_notes Qualifier,Bus_Cap_Detail Qualifier,Scope_Type Qualifier,Intake_Status Qualifier,Application Component,APP_ID Qualifier,EffortSize Qualifier,FK_Data[Applications].Correlation_ID,EffortDesc Qualifier,journey Qualifier,Enabler Qualifier
"Mediation, Billing, & Revenue Management",110,Collections,1049,18,Automated Collections  PA & Fraud,1000,NULL,"Orbit Integration  Payment arrangements can be completed via ACC  Today, outside collection agencies involved in bad debt collection after accounts are written off by the rep.  Tied into Orbit and collections requirements, which will automate this process.  Confirmed scope for AIA Post CI.",BSSe AIA Top 7,Prioritized,Customer Financial Management,13287,S,13287,Small,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,18,Automated Collections  PA & Fraud,1000,NULL,"Orbit Integration  Payment arrangements can be completed via ACC  Today, outside collection agencies involved in bad debt collection after accounts are written off by the rep.  Tied into Orbit and collections requirements, which will automate this process.  Confirmed scope for AIA Post CI.",BSSe AIA Top 7,Prioritized,IDP-Customer Graph Cloud,31468,S,31468,Small,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,18,Automated Collections  PA & Fraud,1000,NULL,"Orbit Integration  Payment arrangements can be completed via ACC  Today, outside collection agencies involved in bad debt collection after accounts are written off by the rep.  Tied into Orbit and collections requirements, which will automate this process.  Confirmed scope for AIA Post CI.",BSSe AIA Top 7,Prioritized,Organizational Risk Based Integrated Technology Gold,17922,S,17922,Small,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,Organizational Risk Based Integrated Technology Gold,17922,M,17922,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,IDP-CAMS,32767,M,32767,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,IDP-Customer Graph Cloud,31468,M,31468,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,BSSe-Order Capture,30909,M,30909,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,BSSe-NEO,31710,M,31710,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,IDP-Order Graph Cloud,31543,M,31543,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,Order Capture Engine,23488,M,23488,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,IDP-Sales,30519,NULL,30519,NULL,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Integration Service Bus,31292,T,31292,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Amp Metadata Management,22827,T,22827,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,DPG - EDM Omnichannel Analytics,29670,S,29670,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,CDO-Data Product Group,30824,NULL,30824,NULL,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,DP Data Libraries,30979,T,30979,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,DPG - Customer & Accounts,31478,T,31478,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,CCMule-CLM,33686,S,33686,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Order Management Hub,27835,S,27835,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,BSSe-MoneyMap,31697,S,31697,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Azure Datalake,30636,T,30636,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,DPG - Billing,31204,T,31204,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,BSSe-Order Capture,30909,T,30909,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,BSSe-Order Handler,30910,T,30910,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Order Graph,28995,S,28995,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,NULL,NULL,NULL,NULL,NULL,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Customer Connect Salesforce Marketing Cloud,30687,S,30687,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,IDP-Catalog-Auth&Publish,33822,T,33822,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,IDP-Commerce-P&O Discovery,33824,S,33824,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Customer Financial Management,13287,T,13287,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Online Tax System,27429,T,27429,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,NULL,NULL,NULL,NULL,NULL,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Message Router,25316,S,25316,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Customer Connect Salesforce Sales & Services Cloud,30685,S,30685,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Customer  Connect  Data Lake House,32255,S,32255,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,CCMule-Service,33688,S,33688,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,BSSe-Catalog One,30911,T,30911,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,IDP-Order Domain Services,32166,S,32166,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,IDP-CAMS,32767,M,32767,Medium,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,DPG - Orders & Supply Chain,31510,T,31510,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,DPG - Finance Data Product,31618,T,31618,Test,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Server-Side Analytics Framework Microservice,30420,S,30420,Small,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,Web Account Management,32768,M,32768,Medium,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,BSSe-Real Time Biller,30914,M,30914,Medium,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed,BSSe-BriteBill,31692,M,31692,Medium,Bill Pay & Usage,0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Customer Connect Salesforce Sales & Services Cloud,30685,S,30685,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,CCMule-Sales,33687,S,33687,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,CCMule-CLM,33686,S,33686,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,CCMule-Service,33688,S,33688,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Customer Connect Salesforce Marketing Cloud,30687,M,30687,Medium,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,IDP-Customer Graph Cloud,31468,M,31468,Medium,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,IDP-Cart-and-Checkout-UI,33921,S,33921,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,BSSe-BriteBill,31692,T,31692,Test,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Customer Financial Management,13287,S,13287,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Halo Consumer Identity Lifecycle Management,31357,S,31357,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,STI Synchronoss Technologies AEIS,25350,S,25350,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,SARA Plus (Video and PIP),30258,S,30258,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,BSSe-Real Time Biller,30914,M,30914,Medium,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,BSSe-Order Capture,30909,S,30909,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,IDP-Commerce-Checkout Services,33827,S,33827,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,IDP-Commerce-Cart&Pricing,33825,S,33825,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,IDP Chat Virtual Assistance Google,30063,S,30063,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Live Chat,23872,S,23872,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Smart Home Manager,26965,S,26965,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Enterprise Document Processing,18211,M,18211,Medium,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Oracle Supply Chain Management (SCM) Systems,18249,S,18249,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Supply Chain Orchestrator,31902,S,31902,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,IDP - Consent & Preference Platform,31595,S,31595,Small,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,Web Account Management,32768,M,32768,Medium,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,"Identity, Registration and Profile Mgmt",32765,M,32765,Medium,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,myAT&T Mobile App,30558,M,30558,Medium,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,IDP-Web-Sales,33758,M,33758,Medium,"Acct, Finance & Legal",0
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope,IDP-Order Graph Cloud,31543,M,31543,Medium,"Acct, Finance & Legal",0
