editor,action,lineOfBusiness,channel,product,domain_sequence,domain,sub_domain_sequence,subdomain,business_flow_sequence,business_flow,e2eux_sequence,sequence_uml,e2eux,correlation_id,application,api,Date Updated,SOX Control,Column1
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,4,Service Order ,2,,Service Order Create ,19375,OVALS GIS,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,4,Service Order ,2,,Service Order Create ,13703,USRP,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,4,Service Order ,2,,Service Order Create ,22510,GRID-AC,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,4,Service Order ,2,,Service Order Create ,31502,ATTCOMM,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,4,Service Order ,3,"OCX ->> USRP: Informs downstream systems to retrieve order
OCX ->> OCSS: Informs downstream systems to retrieve order
OCX ->> ACMS: Informs downstream systems to retrieve order
OCX ->> BGW: Informs downstream systems to retrieve order
OCX ->> BGW: Billing Data Pushed
OCX ->> CAMO: Informs downstream systems to retrieve order
OCX ->> EFMS: Informs downstream systems to retrieve order
OCX ->> GRID-AC: Writes Data into Data reposities for Extraction and reporting
OCX ->> SXP: Writes Data into Data reposities for Extraction and reporting
OCX ->> IOS: Writes Data into Data reposities for Extraction and reporting",Distribute Orders and Record Data,23326,OCX,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,"USRP ->> OCSS: ATX Order
USRP ->> ACMS: Access Order
USRP ->> INSTAR: Network Order
USRP ->> CAMO: Router Order
USRP ->> NC3: Router Order",Service Order Submit,13703,USRP,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,21607,AERO,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,14106,BGW,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,22097,CS WFBPM,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,13537,EFMS,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,9325,EXMGR,,,,
