ID,editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
22,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,3,Verify Device & SIM Status,18193,TLG-MOB,,,,
23,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,3,Verify Device & SIM Status,20180,CSI - Product and Offer Mgt,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
24,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,3,Verify Device & SIM Status,20180,CSI - Product and Offer Mgt,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
25,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,3,Verify Device & SIM Status,20180,CSI - Product and Offer Mgt,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
26,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,3,Verify Device & SIM Status,20188,CSI - Network Management,/service=com.att.csi.m2e.InquireSIMStatus/version=112.5.20/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
27,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,3,Verify Device & SIM Status,20188,CSI - Network Management,/service=com.att.csi.m2e.InquireSIMStatus/version=112.5.20/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
28,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,3,Verify Device & SIM Status,20188,CSI - Network Management,/service=com.att.csi.m2e.InquireSIMStatus/version=112.5.20/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
29,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,3,Verify Device & SIM Status,20182,CSI - Customer Care,/Services/com/InquireDeviceDetails.jws,9/22/2025,,
30,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,4,Validate Market & Service Area,24095,(FED) - GEARS,,,,
31,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,4,Validate Market & Service Area,20187,CSI - Order and Subscription Mngt,/service=com.att.csi.m2e.InquireMarketServiceAreas/version=158.6.7/envContext=PROD/routeOffer=AE2P01,10/23/2025,,
